"","french_name","species","minYear","maxYear","estimate","se","infIC","supIC","GR","infGR","supGR","perc","infPerc","supPerc","pval","trend","trendEBCC"
"84","SERSER","SERSER",2014,2024,-0.0186264041418331,0.0333226766973899,-0.0839388504687172,0.0466860421850511,0.981545995270685,0.919487480604515,1.04779299463492,"-17%","-56.8%","+59.5%",0.576181630335032,"Incertain","Incertain"
"85","TURVIS","TURVIS",2014,2024,-0.0193800449366703,0.0081040995195694,-0.0352640799950264,-0.00349600987831427,0.98080654084315,0.965350452850893,0.996510094049018,"-17.6%","-29.7%","-3.4%",0.0167848121505416,"Déclin modéré","Déclin modéré"
"86","GARGLA","GARGLA",2014,2024,-0.0201494397073893,0.00477491495030709,-0.0295082730099911,-0.0107906064047873,0.980052203648297,0.970922845153569,0.989267403347546,"-18.2%","-25.6%","-10.2%",2.44461546446979e-05,"Déclin modéré","Déclin modéré"
"87","SYLUND","SYLUND",2014,2024,-0.0206524789925264,0.046475240897241,-0.111743951151119,0.070438993166066,0.979559322867968,0.894273205813064,1.07297910837567,"-18.7%","-67.3%","+102.3%",0.656770803540431,"Incertain","Incertain"
"88","PRUMOD","PRUMOD",2014,2024,-0.0212049093225885,0.00815705030030418,-0.0371927279111848,-0.00521709073399233,0.979018334031,0.963490425956695,0.994796494648213,"-19.1%","-31.1%","-5.1%",0.00933377696047553,"Déclin modéré","Déclin modéré"
"89","COLOEN","COLOEN",2014,2024,-0.0214085628470193,0.0617888471050694,-0.142514703172955,0.0996975774789168,0.978818973797688,0.867174803977395,1.10483674003441,"-19.3%","-76%","+171%",0.728982460889742,"Incertain","Incertain"
"90","PODCRI","PODCRI",2014,2024,-0.0239670468656954,0.0431188123594017,-0.108479919090123,0.0605458253587319,0.976317881962107,0.897196911166393,1.06241628206207,"-21.3%","-66.2%","+83.2%",0.578322042462784,"Incertain","Incertain"
"91","TACRUF","TACRUF",2014,2024,-0.0241390882275625,0.0452218364088109,-0.112773887588832,0.0644957111337068,0.976149929351891,0.893352635399009,1.06662100363997,"-21.4%","-67.6%","+90.6%",0.593484933212004,"Incertain","Incertain"
"92","LARRID","LARRID",2014,2024,-0.0242640569114837,0.0340195858584066,-0.0909424451939606,0.042414331370993,0.976027948801944,0.913070260968767,1.04332667217941,"-21.5%","-59.7%","+52.8%",0.475698576867759,"Incertain","Incertain"
"93","TURPIL","TURPIL",2014,2024,-0.0255976585807998,0.0228267602422519,-0.0703381086556134,0.0191427914940139,0.974727183844065,0.93207862277344,1.01932718947844,"-22.6%","-50.5%","+21.1%",0.26212267535832,"Incertain","Incertain"
"94","TROTRO","TROTRO",2014,2024,-0.0266291304072354,0.00544956770891542,-0.0373102831167095,-0.0159479776977611,0.973722298559993,0.963377169298736,0.984178517955875,"-23.4%","-31.1%","-14.7%",1.0266175164267e-06,"Déclin modéré","Déclin modéré"
"95","ALERUF","ALERUF",2014,2024,-0.0296876412871455,0.0313213043028878,-0.0910773977208055,0.0317021151465145,0.970748708013391,0.912947048143991,1.0322099797852,"-25.7%","-59.8%","+37.3%",0.343209999867232,"Incertain","Incertain"
"96","FULATR","FULATR",2014,2024,-0.0311241880302793,0.0387242930651901,-0.107023802438052,0.0447754263774932,0.969355183289842,0.898504286143167,1.04579297601832,"-26.7%","-65.7%","+56.5%",0.421548270751152,"Incertain","Incertain"
"97","PARATE","PARATE",2014,2024,-0.0313437025959798,0.0162960241336245,-0.0632839098978839,0.000596504705924282,0.96914241906105,0.938676936181508,1.00059668265024,"-26.9%","-46.9%","+0.6%",0.0544303751049949,"Incertain","Incertain"
"98","ANTPRA","ANTPRA",2014,2024,-0.0332923922044057,0.0140430925088268,-0.0608168535217061,-0.00576793088710519,0.9672557002117,0.940995564018879,0.994248671690078,"-28.3%","-45.6%","-5.6%",0.017752955155749,"Déclin modéré","Déclin modéré"
"99","PARMON","PARMON",2014,2024,-0.0384691673727211,0.0410693516503775,-0.118965096607461,0.0420267618620189,0.962261373328704,0.88783878880691,1.04292238892237,"-31.9%","-69.6%","+52.2%",0.348919089304435,"Incertain","Incertain"
"100","CINCIN","CINCIN",2014,2024,-0.0397311095013481,0.0419263745747608,-0.121906803667879,0.0424445846651832,0.961047821040377,0.885230864928077,1.04335823672562,"-32.8%","-70.4%","+52.9%",0.343312756733497,"Incertain","Incertain"
"101","CICCIC","CICCIC",2014,2024,-0.0405903743594681,0.0700525888043405,-0.177893448415976,0.0967126996970392,0.960222381107335,0.837031605780901,1.10154385427208,"-33.4%","-83.1%","+163%",0.562300965153932,"Incertain","Incertain"
"102","CARCAN","CARCAN",2014,2024,-0.0430096973166159,0.0255164419874802,-0.0930219236120771,0.00700252897884535,0.957902100942031,0.911173523862291,1.00702710401387,"-35%","-60.6%","+7.3%",0.0918790428887154,"Incertain","Incertain"
"103","REGREG","REGREG",2014,2024,-0.0515825243905377,0.0119943266662606,-0.0750914046564086,-0.0280736441246669,0.949725271228979,0.927658690129393,0.972316758747926,"-40.3%","-52.8%","-24.5%",1.7035402863814e-05,"Déclin modéré à fort","Déclin modéré"
"104","CARCHL","CARCHL",2014,2024,-0.0754109935961943,0.0133657423336227,-0.101607848570095,-0.0492141386222938,0.927362268041264,0.903383745443069,0.951977252772958,"-53%","-63.8%","-38.9%",1.67978343996538e-08,"Déclin fort","Déclin modéré"
"105","PYRPYR","PYRPYR",2014,2024,-0.0783612544082299,0.01366670959915,-0.105148005222564,-0.0515745035938959,0.924630339415852,0.900191279715484,0.949732888812795,"-54.3%","-65.1%","-40.3%",9.82443457265368e-09,"Déclin fort","Fort déclin"
"106","GALCRI","GALCRI",2014,2024,-0.0824594614053305,0.0395446953776435,-0.159967064345512,-0.00495185846514923,0.920848767015082,0.852171855341809,0.995060381773669,"-56.2%","-79.8%","-4.8%",0.0370491707324428,"Déclin modéré à fort","Déclin modéré"
"107","EMBCIT","EMBCIT",2014,2024,-0.102371151229437,0.0231742437998984,-0.147792669077238,-0.056949633381636,0.902694453330484,0.862609942118486,0.944641646573665,"-64.1%","-77.2%","-43.4%",9.98704104613024e-06,"Déclin fort","Fort déclin"
"108","PASMON","PASMON",2014,2024,-0.193918919280849,0.046767514018908,-0.285583246757909,-0.102254591803789,0.82372468975126,0.75157577232768,0.902799677009786,"-85.6%","-94.2%","-64%",3.37677415701358e-05,"Déclin fort","Fort déclin"
