"","french_name","species","year","estimate","se","infIC","supIC","GR","infGR","supGR","pval"
"1","ACCNIS","ACCNIS",2014,-0.211090226085459,0,-0.211090226085459,-0.211090226085459,0.809701007433099,0.809701007433099,0.809701007433099,NA
"2","ACCNIS","ACCNIS",2015,0.102763131397595,0.125816436300505,-0.143837083751395,0.349363346546585,1.10822887335962,0.866028826734524,1.41816438187043,0.41405969448131
"3","ACCNIS","ACCNIS",2016,-0.22175005942291,0.145486734410377,-0.506904058867249,0.0634039400214298,0.801115570601814,0.602357558577385,1.06545713309617,0.12746016757435
"4","ACCNIS","ACCNIS",2017,-0.0966467297570794,0.13170553408152,-0.354789576556858,0.161496117042699,0.907876675302126,0.701321002063109,1.17526789463446,0.463065045817127
"5","ACCNIS","ACCNIS",2018,-0.244306201291745,0.132854230269743,-0.50470049262044,0.0160880900369508,0.783247766063036,0.603686356871823,1.01621820016216,0.0659292787712273
"6","ACCNIS","ACCNIS",2019,0.0331920780988263,0.11235061252705,-0.187015122454191,0.253399278651843,1.03374908073105,0.829431193255338,1.28839760380619,0.767663130134303
"7","ACCNIS","ACCNIS",2020,0.0478770384053144,0.102812245105086,-0.153634962000654,0.249389038811283,1.04904165555877,0.857585014998776,1.2832411665904,0.641448524561723
"8","ACCNIS","ACCNIS",2021,0.297119836056797,0.0858327991301465,0.128887549761709,0.465352122351884,1.34597658631056,1.13756219783298,1.59257487137615,0.00053695091511752
"9","ACCNIS","ACCNIS",2022,0.0366567439295038,0.095961156988791,-0.151427123768526,0.224740611627534,1.0373368875354,0.859480515691664,1.25199792036666,0.702464595925004
"10","ACCNIS","ACCNIS",2023,0.252215653247279,0.0862309134478668,0.0832030628894602,0.421228243605098,1.28687352581779,1.08676246727044,1.52383204363885,0.00344581638451998
"11","ACCNIS","ACCNIS",2024,0.00396873542187775,0.103059031823165,-0.198026966951526,0.205964437795282,1.00397662128115,0.820347730562058,1.2287095075993,0.969281583796252
"12","AEGCAU","AEGCAU",2014,0.0860248147661371,0,0.0860248147661371,0.0860248147661371,1.08983337192984,1.08983337192984,1.08983337192984,NA
"13","AEGCAU","AEGCAU",2015,0.127392081722835,0.0928665480561971,-0.0546263524673113,0.309410515912981,1.1358622813261,0.946838865872542,1.36262163356633,0.170133248175532
"14","AEGCAU","AEGCAU",2016,-0.0552778366408325,0.0921683154488027,-0.235927734920486,0.125372061638821,0.946222216227104,0.789837749558266,1.13357013257782,0.548673659776795
"15","AEGCAU","AEGCAU",2017,0.000457260873697718,0.0870502309614513,-0.170161191810747,0.171075713558142,1.00045736543339,0.843528835696731,1.18658058585891,0.995808859901271
"16","AEGCAU","AEGCAU",2018,-0.0074254529319401,0.0820860181532353,-0.168314048512281,0.153463142648401,0.992602047633532,0.845088394253293,1.16586481564078,0.927922146239711
"17","AEGCAU","AEGCAU",2019,-0.193041743845895,0.0802117029231574,-0.350256681575283,-0.0358268061165064,0.824447557808977,0.704507232482114,0.964807377750295,0.0160994541558089
"18","AEGCAU","AEGCAU",2020,-0.118556062139536,0.0708708558766207,-0.257462939657712,0.0203508153786407,0.888202019755418,0.773010273807976,1.02055930513231,0.094357521089351
"19","AEGCAU","AEGCAU",2021,-0.0877831021814314,0.0655302063248831,-0.216222306578202,0.0406561022153395,0.915959524802206,0.805556201523914,1.04149387651505,0.180381192979506
"20","AEGCAU","AEGCAU",2022,0.0905635281271134,0.0654630476012584,-0.0377440451713531,0.21887110142558,1.09479105545784,0.962959383454758,1.24467083005147,0.166533131180513
"21","AEGCAU","AEGCAU",2023,0.0786650400252568,0.0616417232968363,-0.0421527376365423,0.199482817687056,1.08184188764183,0.958723336252512,1.22077123357742,0.201897024942993
"22","AEGCAU","AEGCAU",2024,0.0789814722245949,0.0668635887999571,-0.052071161823321,0.210034106272511,1.08218427141744,0.94926131327344,1.23372013683439,0.237510207020311
"23","ALAARV","ALAARV",2014,0.0145932067415618,0,0.0145932067415618,0.0145932067415618,1.01470020744393,1.01470020744393,1.01470020744393,NA
"24","ALAARV","ALAARV",2015,0.101420267501282,0.149142808765752,-0.190899637679591,0.393740172682156,1.106741671595,0.826215504895495,1.48251530065371,0.496491055664701
"25","ALAARV","ALAARV",2016,-0.20249363450785,0.145591395718649,-0.487852770116401,0.082865501100701,0.816691681226051,0.613943257183322,1.08639567969825,0.164275413613987
"26","ALAARV","ALAARV",2017,-0.234297513589068,0.130531450368288,-0.490139156310912,0.021544129132776,0.791126410021445,0.612541149286754,1.02177787951421,0.0726615606894645
"27","ALAARV","ALAARV",2018,0.121103669660164,0.129962886173473,-0.133623587239844,0.375830926560172,1.12874192259356,0.874919333430163,1.45620090805995,0.351422982372922
"28","ALAARV","ALAARV",2019,0.138580581866305,0.119416232163205,-0.0954752331735758,0.372636396906186,1.14864223757618,0.908940872955734,1.45155645345071,0.245851957309975
"29","ALAARV","ALAARV",2020,0.0939589871672625,0.109874680678363,-0.121395386962329,0.309313361296854,1.09851469179397,0.885683702565166,1.36248925501529,0.392469855503947
"30","ALAARV","ALAARV",2021,-0.0673356001483584,0.103013120303869,-0.269241315943941,0.134570115647224,0.934881402346903,0.76395887794469,1.14404487163691,0.513330604334223
"31","ALAARV","ALAARV",2022,-0.0277178612233608,0.10581243691771,-0.235110237582073,0.179674515135352,0.972662753971284,0.790483703813275,1.19682775040038,0.793357853068799
"32","ALAARV","ALAARV",2023,0.196705594528471,0.106112975821927,-0.011275838082505,0.404687027139447,1.21738558296595,0.988787495908271,1.49883333248668,0.063776734729814
