"","french_name","species","minYear","maxYear","estimate","se","infIC","supIC","GR","infGR","supGR","perc","infPerc","supPerc","pval","trend","trendEBCC"
"140","Foulque macroule","FULATR",2015,2024,-0.0556136025762633,0.0147910646220951,-0.0846040892355697,-0.0266231159169568,0.945904560371539,0.918876005297872,0.973728155020904,"-39.4%","-53.3%","-21.3%",0.000169950115056095,"Déclin modéré à fort","Déclin modéré"
"141","Hypolaïs ictérine","HIPICT",2015,2024,-0.0567742360630331,0.0600576645450162,-0.174487258571265,0.0609387864451989,0.944807348716946,0.83988755552847,1.06283385235762,"-40%","-79.2%","+73.1%",0.344491072576323,"Incertain","Incertain"
"142","Outarde canepetière","TETRAX",2015,2024,-0.0579285403798215,0.0349971141425154,-0.126522884099152,0.0106658033395086,0.943717382713045,0.881153984897633,1.01072288578281,"-40.6%","-68%","+10.1%",0.0978763042447732,"Incertain","Incertain"
"143","Vanneau huppé","VANVAN",2015,2024,-0.0581611525466649,0.0258930978309466,-0.10891162429532,-0.00741068079800962,0.943497888097313,0.896809670182744,0.99261671059222,"-40.8%","-62.5%","-6.5%",0.0246910118359252,"Déclin modéré à fort","Déclin modéré"
"144","Grive litorne","TURPIL",2015,2024,-0.059790071629749,0.0282484912981179,-0.11515711457406,-0.00442302868543797,0.941962257431141,0.891226108295906,0.995586738500451,"-41.6%","-64.5%","-3.9%",0.0342958700968763,"Déclin modéré à fort","Déclin modéré"
"145","Mésange noire","PARATE",2015,2024,-0.0619824864429612,0.00780916856318779,-0.0772884568268092,-0.046676516059113,0.93989934762778,0.925622812874062,0.954396079465817,"-42.8%","-50.1%","-34.3%",2.06891719604107e-15,"Déclin fort","Déclin modéré"
"146","Roitelet huppé","REGREG",2015,2024,-0.0625086433019048,0.00888751410945299,-0.0799281709564325,-0.0450891156473768,0.939404943217851,0.923182655332324,0.955912291294577,"-43%","-51.3%","-33.4%",2.01690330014022e-12,"Déclin fort","Déclin modéré"
"147","Perdrix grise","PERPER",2015,2024,-0.0656140634419472,0.0156528162202859,-0.0962935832337076,-0.0349345436501867,0.936492221141195,0.908197345412094,0.965668623332104,"-44.6%","-58%","-27%",2.76704057158971e-05,"Déclin modéré à fort","Déclin modéré"
"148","Bouvreuil pivoine","PYRPYR",2015,2024,-0.0657053740916815,0.0115094184142526,-0.0882638341836166,-0.0431469139997464,0.936406713331957,0.915519299569584,0.957770669810454,"-44.6%","-54.8%","-32.2%",1.13751901947648e-08,"Déclin fort","Déclin modéré"
"149","Cincle plongeur","CINCIN",2015,2024,-0.0685669632014823,0.0408391394079786,-0.14861167644112,0.0114777500381558,0.933730932397462,0.861903747452524,1.01154387214665,"-46%","-73.8%","+10.9%",0.093161358775254,"Incertain","Incertain"
"150","Bruant jaune","EMBCIT",2015,2024,-0.068796809754799,0.0050784619306241,-0.0787505951388222,-0.0588430243707757,0.933516342223276,0.924270413235483,0.942854762760753,"-46.2%","-50.8%","-41.1%",8.27818685632004e-42,"Déclin fort","Fort déclin"
"151","Mésange boréale","PARMON",2015,2024,-0.0693483620751166,0.0242087362632717,-0.116797485151129,-0.0218992389991042,0.933001601085052,0.889765365617545,0.978338808482506,"-46.4%","-65%","-17.9%",0.00417535415785007,"Déclin modéré à fort","Déclin modéré"
"152","Bruant des roseaux","EMBSCH",2015,2024,-0.0702215743574003,0.0204003918398636,-0.110206342363533,-0.0302368063512676,0.932187248230797,0.895649305833447,0.970215753090414,"-46.8%","-62.9%","-23.8%",0.000577071909180186,"Déclin modéré à fort","Déclin modéré"
"153","Fuligule morillon","AYTFUL",2015,2024,-0.0724427458604018,0.0570228031314988,-0.184207439998139,0.0393219482773357,0.930118998298797,0.831763244963498,1.04010528985844,"-47.9%","-80.9%","+42.5%",0.203936084835216,"Incertain","Incertain"
"154","Bec-croisé des sapins","LOXCUR",2015,2024,-0.0729572002531907,0.0405034331025457,-0.15234392913418,0.00642952862779872,0.929640617557394,0.858692900443314,1.00645024241649,"-48.1%","-74.6%","+6%",0.071661962444093,"Incertain","Incertain"
"155","Bruant fou","EMBCIA",2015,2024,-0.0741817789921244,0.0277474895020904,-0.128566858416222,-0.0197966995680272,0.928502896179165,0.879354768185895,0.980397968378158,"-48.7%","-68.6%","-16.3%",0.00750734245826519,"Déclin modéré à fort","Déclin modéré"
"156","Locustelle tachetée","LOCNAE",2015,2024,-0.0778162676881391,0.0203324689752858,-0.117667906879699,-0.0379646284965789,0.925134388009246,0.88899123147045,0.962746994097535,"-50.4%","-65.3%","-28.9%",0.000129613281430016,"Déclin modéré à fort","Déclin modéré"
"157","Tarier des prés","SAXRUB",2015,2024,-0.0845789732964398,0.0272830118301877,-0.138053676483608,-0.0311042701092719,0.918899084021509,0.871051935486017,0.969374491022095,"-53.3%","-71.1%","-24.4%",0.00193481453028678,"Déclin modéré à fort","Déclin modéré"
"158","Pipit farlouse","ANTPRA",2015,2024,-0.0848472278274344,0.0251080341258756,-0.13405897471415,-0.0356354809407181,0.918652618237953,0.874538487425165,0.964991987351114,"-53.4%","-70.1%","-27.4%",0.000726743659872635,"Déclin modéré à fort","Déclin modéré"
"159","Chevalier gambette","TRITOT",2015,2024,-0.0956294620427857,0.1304587066012,-0.351328526981138,0.160069602895567,0.908800698842444,0.703752514184512,1.17359255358905,"-57.7%","-95.8%","+322.3%",0.463543328289095,"Incertain","Incertain"
"160","Bruant ortolan","EMBHOR",2015,2024,-0.103594092855304,0.0388778887067724,-0.179794754720578,-0.02739343099003,0.90159118546167,0.83544166427355,0.972978366369841,"-60.6%","-80.2%","-21.9%",0.00770795292352706,"Déclin modéré à fort","Déclin modéré"
"161","Courlis cendré","NUMARQ",2015,2024,-0.138451941179788,0.0363332585689414,-0.209665127974913,-0.0672387543846628,0.870705095323254,0.810855733412376,0.934971946034593,"-71.2%","-84.8%","-45.4%",0.000138623344104442,"Déclin fort","Fort déclin"
"162","Petit Gravelot","CHADUB",2015,2024,-0.161987056839226,0.0523030619525059,-0.264501058266137,-0.0594730554123143,0.850452212008708,0.76758883655387,0.942260922081225,"-76.7%","-90.7%","-41.4%",0.00195433471055975,"Déclin fort","Fort déclin"
"163","Coucou geai","CLAGLA",2015,2024,-0.187354101442104,0.0623455438747128,-0.309551367436541,-0.0651568354476664,0.829150081157144,0.733776078234327,0.93692050950638,"-81.5%","-93.8%","-44.4%",0.00265500441294015,"Déclin fort","Fort déclin"
"164","Moineau friquet","PASMON",2015,2024,-0.197864618093583,0.022482022336698,-0.241929381873511,-0.153799854313655,0.820480923890831,0.785111618705829,0.857443617480061,"-83.1%","-88.7%","-74.9%",1.35584102583541e-18,"Déclin fort","Fort déclin"
"165","Fauvette passerinette","SYLCAN",2015,2024,-0.567465571105679,0.0822940463956378,-0.728761902041129,-0.406169240170229,0.56696054052544,0.482506010135581,0.666197410520494,"-99.4%","-99.9%","-97.4%",5.36436819092639e-12,"Déclin fort","Fort déclin"
