"","french_name","species","year","estimate","se","infIC","supIC","GR","infGR","supGR","pval"
"1182","Caille des blés","COTCOT",2005,0.705815753675086,0.0767583564912289,0.555369374952277,0.856262132397895,2.02549831886502,1.74258453299018,2.35434399999243,3.73966050572644e-20
"1183","Caille des blés","COTCOT",2006,0.3023887896746,0.084526874390901,0.136716115868434,0.468061463480766,1.35308719078677,1.14650262841458,1.59689555042972,0.00034699203076911
"1184","Caille des blés","COTCOT",2007,0.0664066027151046,0.0887935013976044,-0.1076286600242,0.240441865454409,1.06866114936421,0.897960983336482,1.27181099552573,0.454534451886638
"1185","Caille des blés","COTCOT",2008,0.0700437030862998,0.081707997457064,-0.0901039719295457,0.230191378102145,1.07255505419606,0.913836167022124,1.25884090146068,0.391309965535125
"1186","Caille des blés","COTCOT",2009,0.0583800826208754,0.0801611574330566,-0.0987357859479155,0.215495951189666,1.06011785151763,0.905982049591892,1.24047696045701,0.466439798578498
"1187","Caille des blés","COTCOT",2010,0.291752514622424,0.0765496121950905,0.141715274720047,0.441789754524801,1.33877165022935,1.15224852754247,1.55548867159801,0.000138245346316987
"1188","Caille des blés","COTCOT",2011,0.554576901457733,0.0763486527129341,0.404933542140382,0.704220260775083,1.74120412797521,1.49920286293256,2.02226922735959,3.76526376570633e-13
"1189","Caille des blés","COTCOT",2012,0.398330830124437,0.0787109805771653,0.244057308193193,0.552604352055681,1.48933666584787,1.27641747757287,1.7377729020576,4.17770953244188e-07
"1190","Caille des blés","COTCOT",2013,-0.528456856435807,0.104136777159836,-0.732564939669085,-0.32434877320253,0.589513972829964,0.480674506469433,0.722998036060537,3.88226354327864e-07
"1191","Caille des blés","COTCOT",2014,0.0610470135143106,0.0898589661597018,-0.115076560158705,0.237170587187326,1.06294888597517,0.891297903385675,1.26765734543298,0.496906783048007
"1192","Caille des blés","COTCOT",2015,0.0779071261063418,0.0983727379510749,-0.114903440277765,0.270717692490449,1.08102225526175,0.891452218129681,1.31090493983291,0.42838487393515
"1193","Caille des blés","COTCOT",2016,-0.657835929853162,0.123499511868059,-0.899894973114557,-0.415776886591766,0.517971048167509,0.406612362728119,0.659827470418411,1.00052905715747e-07
